Id,Aspect,Elevation,Hillshade_3pm,Hillshade_9am,Hillshade_Noon,Horizontal_Distance_To_Fire_Points,Horizontal_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Slope,Vertical_Distance_To_Hydrology,Cover_Type,Wilderness,Soil
8992,70,3028,140,225,230,2516,42,3167,5,0,1,Wilderness_Area3,Soil_Type23
4877,83,2374,114,236,220,1758,408,576,11,153,4,Wilderness_Area4,Soil_Type6
11062,53,2426,127,226,219,994,42,904,10,-1,6,Wilderness_Area3,Soil_Type10
7071,49,2503,141,222,228,1518,30,242,5,-2,6,Wilderness_Area3,Soil_Type10
10437,312,3464,185,185,230,1478,525,1155,13,136,7,Wilderness_Area2,Soil_Type40
8969,26,2938,132,213,211,966,285,1989,13,7,1,Wilderness_Area3,Soil_Type23
8951,56,3282,107,229,207,1994,624,3754,15,243,1,Wilderness_Area3,Soil_Type32
7534,75,3432,115,234,218,1604,793,2126,11,153,7,Wilderness_Area1,Soil_Type35
1193,53,2723,126,226,218,2131,182,210,10,57,5,Wilderness_Area1,Soil_Type29
11894,344,3249,162,205,228,1114,210,4188,8,21,1,Wilderness_Area1,Soil_Type39
53,72,2696,149,222,234,6071,30,3271,2,0,1,Wilderness_Area1,Soil_Type30
7937,162,2581,136,233,243,659,552,616,15,111,3,Wilderness_Area3,Soil_Type2
987,114,2811,129,235,232,1400,330,2345,8,44,2,Wilderness_Area1,Soil_Type29
11445,45,2782,143,221,229,3235,0,2192,5,0,1,Wilderness_Area1,Soil_Type20
3305,108,2103,31,254,184,30,60,655,32,31,4,Wilderness_Area4,Soil_Type3
2747,68,2099,25,232,153,454,85,1026,34,47,3,Wilderness_Area4,Soil_Type1
8401,212,2889,177,209,252,1902,531,2512,13,47,5,Wilderness_Area3,Soil_Type26
10324,27,2910,149,218,230,1533,30,2881,4,0,1,Wilderness_Area3,Soil_Type20
9521,286,3392,181,199,240,3879,255,4908,8,28,7,Wilderness_Area3,Soil_Type38
12120,87,2874,82,244,205,256,216,997,19,47,5,Wilderness_Area1,Soil_Type29
12234,323,2071,196,121,187,391,30,424,33,26,6,Wilderness_Area4,Soil_Type10
8946,129,3270,130,235,235,1897,268,997,9,15,1,Wilderness_Area1,Soil_Type23
13863,59,2602,116,229,214,1578,268,1499,12,92,3,Wilderness_Area3,Soil_Type2
10322,73,3328,73,239,193,794,408,624,22,99,7,Wilderness_Area2,Soil_Type24
1940,303,3359,197,173,230,2268,127,2872,16,36,7,Wilderness_Area1,Soil_Type39
3655,126,2339,87,250,220,1019,518,1476,21,264,4,Wilderness_Area4,Soil_Type2
3075,62,2060,90,232,197,234,30,454,19,7,4,Wilderness_Area4,Soil_Type3
878,335,3046,172,185,218,1055,134,4530,15,31,1,Wilderness_Area1,Soil_Type29
8733,192,2827,163,216,251,2221,324,1682,18,100,5,Wilderness_Area3,Soil_Type4
10137,6,3144,140,195,201,2638,30,1423,18,6,1,Wilderness_Area3,Soil_Type24
7916,279,2566,184,196,241,892,480,841,9,96,3,Wilderness_Area3,Soil_Type2
12139,22,2079,90,181,153,573,108,175,33,62,3,Wilderness_Area4,Soil_Type10
110,333,2567,158,216,237,5079,0,1266,1,0,2,Wilderness_Area1,Soil_Type16
12050,356,2041,146,170,185,474,30,612,25,17,4,Wilderness_Area4,Soil_Type10
8605,176,2808,156,221,241,1892,560,2024,4,43,5,Wilderness_Area3,Soil_Type17
7450,17,2762,134,206,206,268,270,2639,16,49,5,Wilderness_Area3,Soil_Type31
13934,344,3372,165,186,213,1905,874,1195,16,101,7,Wilderness_Area3,Soil_Type38
91,102,2514,137,230,233,4811,272,1082,6,-5,2,Wilderness_Area1,Soil_Type18
7795,182,3411,157,222,244,832,247,1852,5,72,7,Wilderness_Area3,Soil_Type38
6979,33,2560,107,212,191,1410,120,234,20,12,6,Wilderness_Area3,Soil_Type10
9691,306,3379,196,171,228,2770,924,4562,17,204,7,Wilderness_Area3,Soil_Type38
128,1,2716,153,206,222,5581,234,2100,10,27,2,Wilderness_Area1,Soil_Type12
5557,295,3122,214,150,227,2940,335,1317,23,18,1,Wilderness_Area1,Soil_Type29
10096,317,3318,198,147,209,994,743,799,25,119,1,Wilderness_Area2,Soil_Type22
7075,26,2736,133,214,213,1290,90,1549,12,5,5,Wilderness_Area3,Soil_Type10
2524,96,2744,92,245,214,351,30,458,17,-7,5,Wilderness_Area1,Soil_Type30
2850,321,1918,196,139,201,402,42,85,28,17,3,Wilderness_Area4,Soil_Type10
6545,60,2647,140,224,229,658,90,120,5,5,2,Wilderness_Area3,Soil_Type17
11331,93,2548,51,250,190,1315,454,424,26,140,3,Wilderness_Area3,Soil_Type4
8280,227,3442,176,209,248,994,755,2182,8,242,7,Wilderness_Area3,Soil_Type38
363,95,2828,116,238,224,2714,127,2467,11,15,2,Wilderness_Area1,Soil_Type29
4010,114,2171,55,254,200,680,85,1317,27,35,4,Wilderness_Area4,Soil_Type3
1425,62,2728,0,230,166,1315,108,124,29,72,5,Wilderness_Area1,Soil_Type30
251,325,2939,167,206,234,5584,510,4078,6,62,2,Wilderness_Area1,Soil_Type20
7992,143,3284,95,246,227,819,0,2121,24,0,7,Wilderness_Area3,Soil_Type22
744,57,3044,105,229,206,2589,108,4295,16,-5,2,Wilderness_Area1,Soil_Type29
8001,29,2573,137,217,219,1826,182,1653,10,5,5,Wilderness_Area3,Soil_Type11
5072,38,2424,125,219,212,1158,85,1050,13,16,3,Wilderness_Area4,Soil_Type10
13477,51,2716,138,223,226,841,216,150,6,21,5,Wilderness_Area3,Soil_Type11
3315,177,2932,138,222,244,845,150,277,26,24,5,Wilderness_Area3,Soil_Type13
14729,116,3204,137,231,234,2242,743,1062,6,-2,2,Wilderness_Area3,Soil_Type33
12917,137,2381,127,238,236,1717,424,624,11,184,4,Wilderness_Area4,Soil_Type6
3208,128,2252,39,252,195,218,295,708,35,165,4,Wilderness_Area4,Soil_Type3
13861,264,2784,239,124,235,1383,313,1907,32,135,2,Wilderness_Area3,Soil_Type13
8855,324,2751,165,209,235,1983,323,1448,4,57,5,Wilderness_Area3,Soil_Type11
1052,180,2865,154,224,247,2483,95,2876,11,12,2,Wilderness_Area1,Soil_Type29
2492,117,2689,60,254,204,543,67,247,27,-33,5,Wilderness_Area1,Soil_Type30
11034,133,2448,100,247,227,960,67,808,19,16,3,Wilderness_Area3,Soil_Type4
13014,334,2341,178,159,201,892,247,1423,24,144,3,Wilderness_Area4,Soil_Type10
12071,28,1889,108,205,185,759,150,120,22,23,6,Wilderness_Area4,Soil_Type1
778,9,2924,152,213,227,1855,255,3095,6,50,2,Wilderness_Area1,Soil_Type29
13127,85,2428,114,236,221,467,255,242,11,74,3,Wilderness_Area4,Soil_Type2
11266,64,2664,133,227,226,983,361,1026,7,43,3,Wilderness_Area3,Soil_Type11
2074,75,2793,115,234,218,674,313,360,11,3,5,Wilderness_Area1,Soil_Type30
8918,233,3260,169,212,244,457,417,2702,5,-14,1,Wilderness_Area3,Soil_Type23
14352,138,3368,118,241,234,3192,300,1880,15,46,7,Wilderness_Area1,Soil_Type40
4996,124,3281,136,232,235,3613,30,3842,7,2,7,Wilderness_Area1,Soil_Type38
6402,66,2844,78,235,192,1237,108,127,21,49,1,Wilderness_Area1,Soil_Type29
7837,352,3398,158,205,225,1674,830,1342,9,59,7,Wilderness_Area3,Soil_Type38
2901,255,2898,199,187,248,1110,30,2012,14,12,5,Wilderness_Area3,Soil_Type19
5585,115,2426,144,227,236,1084,335,1062,4,36,3,Wilderness_Area4,Soil_Type2
12996,81,2166,51,244,183,560,0,1316,26,0,4,Wilderness_Area4,Soil_Type2
10837,71,2592,99,236,208,524,175,1468,16,44,2,Wilderness_Area3,Soil_Type11
819,357,2780,153,197,213,2952,85,2335,14,13,2,Wilderness_Area1,Soil_Type23
6120,312,2302,173,201,235,836,0,1350,7,0,6,Wilderness_Area4,Soil_Type17
10405,34,3581,146,219,228,1539,362,1734,5,134,7,Wilderness_Area2,Soil_Type40
12889,6,2387,147,203,214,1187,421,1022,13,234,3,Wilderness_Area4,Soil_Type6
310,94,2813,132,231,230,2872,371,1800,7,56,2,Wilderness_Area1,Soil_Type30
4221,350,2266,142,127,149,417,60,1200,38,52,3,Wilderness_Area4,Soil_Type10
14779,49,3350,99,224,196,1421,95,1298,19,26,7,Wilderness_Area2,Soil_Type38
9058,355,3075,157,203,222,1063,361,1624,10,61,2,Wilderness_Area3,Soil_Type32
13274,88,3082,45,248,183,1746,470,720,28,-22,1,Wilderness_Area1,Soil_Type29
10928,338,2587,162,210,233,566,85,1974,4,30,6,Wilderness_Area3,Soil_Type10
10986,161,2515,115,236,236,488,108,1376,25,0,3,Wilderness_Area3,Soil_Type4
7066,338,2728,169,191,221,1266,85,1557,13,12,5,Wilderness_Area3,Soil_Type10
3543,167,2842,115,229,235,1316,90,618,30,30,5,Wilderness_Area3,Soil_Type13
12935,124,2305,140,229,236,127,0,108,5,0,4,Wilderness_Area4,Soil_Type11
7776,172,3393,151,226,244,331,272,2430,8,-3,7,Wilderness_Area3,Soil_Type38
5799,333,2330,179,157,201,930,150,1008,24,80,6,Wilderness_Area4,Soil_Type10
849,17,3001,150,215,228,1371,323,3929,6,43,2,Wilderness_Area1,Soil_Type29
14925,226,2531,206,172,253,1262,162,1295,27,88,3,Wilderness_Area3,Soil_Type3
13106,120,2246,69,253,210,1849,42,458,25,18,4,Wilderness_Area4,Soil_Type3
4635,15,2298,146,212,221,671,180,1440,9,65,6,Wilderness_Area4,Soil_Type2
2354,239,2713,191,196,251,1142,90,1500,13,18,5,Wilderness_Area3,Soil_Type23
2597,176,2054,154,224,244,323,0,895,7,0,4,Wilderness_Area4,Soil_Type17
4630,117,2298,121,238,230,297,0,108,11,0,4,Wilderness_Area4,Soil_Type11
10917,72,2301,80,238,196,960,60,60,20,27,3,Wilderness_Area3,Soil_Type3
4727,20,2394,134,208,208,1148,446,1019,15,238,3,Wilderness_Area4,Soil_Type6
247,38,2965,92,212,181,3315,247,4883,24,49,1,Wilderness_Area1,Soil_Type29
796,95,2725,128,233,229,2026,0,1490,8,0,1,Wilderness_Area1,Soil_Type20
13750,319,2827,191,166,218,977,424,1889,20,84,5,Wilderness_Area3,Soil_Type10
12500,149,2838,85,242,222,1338,90,646,30,30,5,Wilderness_Area3,Soil_Type13
9901,37,3236,115,217,202,541,242,1678,17,31,7,Wilderness_Area3,Soil_Type39
11538,114,2926,135,232,233,3829,120,4694,6,13,1,Wilderness_Area1,Soil_Type23
10457,21,3246,146,215,224,2658,816,1434,7,71,2,Wilderness_Area2,Soil_Type23
13316,116,2507,129,235,232,1506,124,470,8,14,3,Wilderness_Area4,Soil_Type6
1351,184,3081,157,223,247,618,175,3720,11,23,2,Wilderness_Area1,Soil_Type29
14907,8,2578,138,195,199,1106,134,1008,19,26,2,Wilderness_Area3,Soil_Type11
13595,36,3475,89,209,175,1806,750,2420,25,260,1,Wilderness_Area1,Soil_Type40
13936,20,3351,135,210,211,2345,451,3210,13,112,7,Wilderness_Area3,Soil_Type32
919,53,2924,113,227,210,1964,0,4740,14,0,5,Wilderness_Area1,Soil_Type23
9862,104,3225,143,226,234,108,60,2032,4,-2,7,Wilderness_Area3,Soil_Type35
14493,6,3332,145,201,210,2218,467,2927,15,98,7,Wilderness_Area3,Soil_Type38
13813,313,3432,198,159,219,534,552,1813,21,79,7,Wilderness_Area3,Soil_Type39
12724,5,2231,141,192,199,342,30,1173,19,11,3,Wilderness_Area4,Soil_Type10
10864,181,2454,154,224,248,1276,153,912,14,50,3,Wilderness_Area3,Soil_Type3
13237,32,2275,138,218,221,541,0,1441,9,0,4,Wilderness_Area4,Soil_Type17
8413,144,2975,108,244,232,853,433,1905,20,224,5,Wilderness_Area3,Soil_Type13
10145,51,2834,104,226,202,2032,210,1973,17,46,5,Wilderness_Area3,Soil_Type33
5546,348,2388,161,188,212,1116,201,1176,16,105,6,Wilderness_Area4,Soil_Type10
12633,143,2198,102,245,230,421,0,792,22,0,4,Wilderness_Area4,Soil_Type4
10318,333,2967,177,173,212,1952,408,3231,19,39,1,Wilderness_Area3,Soil_Type24
8171,205,3014,175,209,253,1940,735,2940,16,112,2,Wilderness_Area3,Soil_Type33
2932,9,2245,111,164,154,725,228,849,33,64,6,Wilderness_Area4,Soil_Type10
214,312,3024,194,169,224,4961,474,5785,18,177,2,Wilderness_Area1,Soil_Type24
8706,346,3319,162,179,205,828,255,1253,19,29,1,Wilderness_Area1,Soil_Type38
429,71,2654,115,233,218,664,0,1413,11,0,5,Wilderness_Area1,Soil_Type30
7650,110,3156,138,230,234,1758,162,1101,6,24,1,Wilderness_Area3,Soil_Type23
13808,76,3350,128,230,226,1708,162,3086,8,1,7,Wilderness_Area3,Soil_Type38
11036,81,2355,103,238,214,666,85,192,14,22,3,Wilderness_Area3,Soil_Type4
12507,114,2036,91,248,218,524,30,450,18,-12,4,Wilderness_Area4,Soil_Type6
12589,357,2152,150,185,201,417,0,990,20,0,4,Wilderness_Area4,Soil_Type10
11956,77,3303,115,234,219,2353,108,3005,11,20,7,Wilderness_Area1,Soil_Type39
2308,255,2673,209,175,248,1172,180,1298,18,20,5,Wilderness_Area3,Soil_Type33
10690,34,2608,125,217,210,2552,124,2502,14,38,2,Wilderness_Area3,Soil_Type10
1505,61,3375,112,230,212,1195,150,4142,13,-6,1,Wilderness_Area1,Soil_Type38
12078,233,2900,176,208,247,1626,180,1847,7,14,5,Wilderness_Area3,Soil_Type33
117,53,2982,112,227,209,3880,240,5756,14,63,2,Wilderness_Area1,Soil_Type29
8659,183,2815,154,222,249,1240,228,1690,16,51,5,Wilderness_Area3,Soil_Type13
12369,76,2064,96,238,208,212,42,484,16,10,4,Wilderness_Area4,Soil_Type3
6728,28,2885,127,213,207,1567,390,900,15,59,2,Wilderness_Area3,Soil_Type11
10792,47,2527,127,224,217,983,362,949,10,23,2,Wilderness_Area3,Soil_Type11
13147,76,3104,46,241,176,3834,331,1981,28,129,1,Wilderness_Area1,Soil_Type29
9647,28,3706,146,218,228,3432,1129,5209,6,260,7,Wilderness_Area3,Soil_Type40
3314,96,2773,131,232,230,430,268,1739,7,49,1,Wilderness_Area3,Soil_Type31
13570,88,2730,129,231,228,2473,0,488,7,0,5,Wilderness_Area3,Soil_Type17
13831,26,2627,142,216,222,1749,297,1448,8,111,6,Wilderness_Area3,Soil_Type2
6359,325,2395,185,166,214,641,170,769,20,86,6,Wilderness_Area4,Soil_Type10
14090,216,2918,179,207,252,1354,1006,2582,12,123,2,Wilderness_Area3,Soil_Type34
3148,76,2740,82,240,199,1409,60,1008,20,11,6,Wilderness_Area3,Soil_Type20
10613,253,3355,219,163,248,4065,607,1464,23,-1,1,Wilderness_Area2,Soil_Type33
7344,0,3164,152,200,215,2451,242,3207,13,46,1,Wilderness_Area3,Soil_Type31
4909,284,2269,238,107,217,1087,228,792,34,138,6,Wilderness_Area4,Soil_Type10
2353,247,2703,188,198,248,1130,90,1452,10,8,5,Wilderness_Area3,Soil_Type23
2613,13,2859,133,198,198,95,277,789,19,6,2,Wilderness_Area3,Soil_Type32
4424,13,2830,146,211,221,1136,30,1492,9,2,5,Wilderness_Area3,Soil_Type23
2442,234,2894,180,206,248,1443,30,2103,9,3,5,Wilderness_Area3,Soil_Type23
3472,229,2320,199,187,254,466,324,999,20,207,4,Wilderness_Area4,Soil_Type3
2690,254,2060,193,193,248,210,30,895,12,-6,4,Wilderness_Area4,Soil_Type17
13361,350,2532,159,202,224,1853,309,90,10,28,3,Wilderness_Area4,Soil_Type6
6443,90,2723,143,226,233,860,300,170,4,28,5,Wilderness_Area3,Soil_Type11
11497,79,2696,139,226,231,1034,95,1800,5,10,2,Wilderness_Area1,Soil_Type12
8557,319,3021,177,193,231,966,270,2576,10,24,1,Wilderness_Area3,Soil_Type23
10895,204,2620,172,212,252,212,42,1473,14,13,3,Wilderness_Area3,Soil_Type4
11434,83,2683,128,231,227,2696,534,1084,8,83,2,Wilderness_Area1,Soil_Type12
7674,141,3073,125,239,236,1871,150,1842,13,18,2,Wilderness_Area3,Soil_Type13
9260,126,3341,125,238,233,3226,342,3103,10,106,7,Wilderness_Area3,Soil_Type39
8121,344,2648,164,175,204,2402,42,2067,20,12,6,Wilderness_Area3,Soil_Type10
12028,336,2636,175,152,194,1959,124,1224,26,49,6,Wilderness_Area3,Soil_Type13
2166,59,3390,124,228,219,2357,124,2610,10,12,7,Wilderness_Area1,Soil_Type39
2621,357,2062,149,184,199,313,30,914,20,7,4,Wilderness_Area4,Soil_Type17
9366,194,3355,163,219,248,4274,67,4592,9,0,7,Wilderness_Area3,Soil_Type23
9548,161,3221,142,231,243,1392,60,3413,11,-12,1,Wilderness_Area3,Soil_Type23
12329,354,2277,149,169,187,832,335,900,25,96,6,Wilderness_Area4,Soil_Type10
11935,317,3337,174,198,233,953,270,5368,8,69,1,Wilderness_Area1,Soil_Type39
3989,328,2151,184,160,208,1218,0,1317,22,0,4,Wilderness_Area4,Soil_Type17
11200,166,2471,121,231,238,1310,277,1253,26,-78,3,Wilderness_Area3,Soil_Type4
9833,84,3202,85,243,205,313,67,1790,19,8,7,Wilderness_Area3,Soil_Type35
13869,22,2701,139,213,217,1860,242,2278,11,23,6,Wilderness_Area3,Soil_Type32
1469,37,2950,146,220,229,1803,180,591,5,5,2,Wilderness_Area1,Soil_Type29
8503,319,2892,203,86,168,313,390,2748,41,163,1,Wilderness_Area3,Soil_Type33
2121,297,2742,223,127,216,967,295,1333,29,168,6,Wilderness_Area3,Soil_Type33
6920,41,2796,118,221,207,1689,277,1148,15,71,2,Wilderness_Area3,Soil_Type11
8341,118,2852,55,254,202,514,212,2128,28,111,5,Wilderness_Area3,Soil_Type13
7772,105,3409,109,242,223,1425,499,2135,13,176,7,Wilderness_Area1,Soil_Type39
7891,204,3417,170,214,250,1320,1020,3226,11,68,7,Wilderness_Area3,Soil_Type38
13681,340,2632,167,192,221,977,382,579,13,73,3,Wilderness_Area3,Soil_Type11
5332,356,2481,157,210,229,661,516,1048,6,211,3,Wilderness_Area4,Soil_Type10
10445,342,3397,160,114,153,1575,256,1095,39,120,7,Wilderness_Area2,Soil_Type39
1499,39,3181,134,221,220,1337,335,2925,9,-32,2,Wilderness_Area1,Soil_Type29
10760,214,2829,181,205,253,1915,42,3444,14,-13,2,Wilderness_Area3,Soil_Type32
998,72,2896,98,236,208,2726,319,3294,16,44,2,Wilderness_Area1,Soil_Type29
4427,121,2895,148,224,237,1440,182,1839,3,4,5,Wilderness_Area3,Soil_Type32
7948,292,3098,199,176,236,1549,90,1320,15,18,1,Wilderness_Area3,Soil_Type23
14766,129,3348,91,249,222,1120,180,858,21,53,7,Wilderness_Area2,Soil_Type24
12620,24,2143,115,204,190,1396,0,1240,21,0,4,Wilderness_Area4,Soil_Type10
10841,80,2437,66,243,192,1065,0,1142,23,0,6,Wilderness_Area3,Soil_Type10
14885,0,2688,156,218,238,1630,182,1477,0,-5,2,Wilderness_Area3,Soil_Type11
10961,68,2601,84,236,197,1120,108,3019,20,18,6,Wilderness_Area3,Soil_Type11
6813,127,2839,106,245,228,1740,134,1144,16,7,2,Wilderness_Area3,Soil_Type10
2249,200,2199,171,206,253,426,60,277,22,15,3,Wilderness_Area4,Soil_Type2
11805,315,3027,182,188,230,655,67,2831,12,12,1,Wilderness_Area1,Soil_Type23
11807,292,3202,170,207,239,1774,258,5955,4,16,2,Wilderness_Area1,Soil_Type22
10282,95,3438,64,250,198,1892,277,2589,24,52,7,Wilderness_Area3,Soil_Type39
9042,252,3395,176,207,244,2305,474,3635,6,54,7,Wilderness_Area3,Soil_Type40
3478,128,2164,64,252,209,192,108,832,28,64,4,Wilderness_Area4,Soil_Type3
10685,3,2593,143,189,198,2255,127,2092,20,31,2,Wilderness_Area3,Soil_Type11
12943,12,2194,117,179,171,805,85,404,28,19,6,Wilderness_Area4,Soil_Type10
7879,82,3303,73,244,197,1364,285,2066,21,70,7,Wilderness_Area1,Soil_Type39
4927,348,2453,155,152,178,300,570,1082,29,241,3,Wilderness_Area4,Soil_Type10
8444,119,2682,91,249,220,2293,277,2403,19,48,5,Wilderness_Area3,Soil_Type10
